market_id,title,outcome,probability,volume,liquidity
559669,Will Rahm Emanuel win the 2028 Democratic presidential nomination?,No,0.9785,13668094.876980983,751402.10048
558951,Will Norway win the 2026 FIFA World Cup?,No,0.9755,21065058.38735249,3065715.24538
559660,Will Andy Beshear win the 2028 Democratic presidential nomination?,No,0.9735,11988062.709091902,501758.49966
544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,No,0.9705,135915.9230470003,5046.39503
558941,Will Netherlands win the 2026 FIFA World Cup?,No,0.9655,21089219.11029168,1650809.37748
559654,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,No,0.9585,10626691.313145624,355538.54379
559655,Will Josh Shapiro win the 2028 Democratic presidential nomination?,No,0.9515,8330304.416215233,392137.02046
544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,No,0.9505,164591.78771399948,5303.79755
558939,Will Germany win the 2026 FIFA World Cup?,No,0.9485,19238382.499652807,954404.50843
559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,No,0.9425,11191233.962574886,291931.50949
559651,Xi Jinping out before 2027?,No,0.9355,9552760.040675852,209139.03178
558938,Will Argentina win the 2026 FIFA World Cup?,No,0.9175,20523253.58182002,1301665.15744
559658,Will Kamala Harris win the 2028 Democratic presidential nomination?,No,0.9125,11697574.960893985,313695.32513
558940,Will Portugal win the 2026 FIFA World Cup?,No,0.9125,22638709.569206823,463885.39291
558937,Will Brazil win the 2026 FIFA World Cup?,No,0.9115,21041684.648145016,1277870.09732
559653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,No,0.9115,12992954.888926202,258277.28562
544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,No,0.897,208730.93113599968,3121.72846
558935,Will England win the 2026 FIFA World Cup?,No,0.8875,19198198.245037016,1382033.30678
553866,Will the San Antonio Spurs win the 2026 NBA Finals?,No,0.8495,29777035.804509535,269252.49737
558934,Will Spain win the 2026 FIFA World Cup?,No,0.8255,23772422.05042216,327313.10817
558936,Will France win the 2026 FIFA World Cup?,No,0.8225,29648083.55858043,621169.14687
553828,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,No,0.8195,14949386.864085091,137877.99847
553849,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,No,0.815,3012762.923204997,139264.13502
553858,Will the New York Knicks win the 2026 NBA Finals?,No,0.8105,15529074.333428612,312962.39096
556108,Will MegaETH perform an airdrop by June 30? ,No,0.8045,1545818.4629649967,3547.64965
544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,0.784,363176.16007600154,4978.03927
559652,Will Gavin Newsom win the 2028 Democratic presidential nomination?,No,0.7585,25456724.351016555,236663.22133
